## Судья Адептус Арбитрес [Adeptus Arbites]
*Закон Империума — это Лекс Империалис. Вы служили в Адептус Арбитрес, элитной полиции, которая следит за тем, чтобы планетарные губернаторы платили десятину и не впадали в ересь. Вы — олицетворение порядка, безжалостное и неотвратимое.*

* **Владение навыками:** Запугивание, Аналитика.
* **Владение инструментами:** Набор отравителя (для анализа наркотиков и ядов), Наземный транспорт.
* **Снаряжение:** Копия книги законов (Книга Судей), пара тяжелых наручников, сигнальный свисток, значок Арбитра, черная униформа, 15 ак.

### Специализация
| к6 | Роль в участке |
|:--:|:---|
| 1 | Патрульный (уличный коп) |
| 2 | Следователь-детектив |
| 3 | Надзиратель тюрьмы |
| 4 | Судья-экзекутор |
| 5 | Штурмовик (команда подавления мятежей) |
| 6 | Каратель (охотник за беглыми преступниками) |

### Умение: Представитель Закона
Ваш значок и униформа вызывают уважение и страх. Обычные граждане не посмеют перечить вам, если вы требуете пустить вас в здание или отдать предмет, "необходимый для следствия". Местные криминальные элементы будут стараться избегать вас, а стража ульев окажет посильную помощь в поимке преступников.

### Персонализация
| к6 | Черта характера |
|:--:|:---|
| 1 | Я говорю короткими, рублеными фразами, как будто зачитываю приговор. |
| 2 | Я цитирую статьи Лекс Империалис по любому поводу. |
| 3 | Мой взгляд всегда холодный и оценивающий, я ищу слабости в людях. |
| 4 | Я не понимаю юмора и воспринимаю все сарказмы всерьез. |
| 5 | Я поддерживаю свою форму и оружие в идеальной чистоте. |
| 6 | Я наслаждаюсь процессом допроса больше, чем следует. |

| к6 | Идеал |
|:--:|:---|
| 1 | **Закон.** Закон суров, но это закон. (Законный) |
| 2 | **Порядок.** Хаос — это враг. Без правил мы ничем не лучше орков. (Законный) |
| 3 | **Справедливость.** Никто не уйдет от наказания, даже аристократы. (Добрый) |
| 4 | **Наказание.** Страдание преступника — лучшая профилактика преступлений. (Злой) |
| 5 | **Ответственность.** Я должен защищать тех, кто соблюдает законы. (Добрый) |
| 6 | **Прагматизм.** Если закон мешает поймать убийцу, я закрою глаза на закон. (Хаотичный) |

| к6 | Привязанность |
|:--:|:---|
| 1 | Я преследую криминального барона, которому удалось избежать правосудия. |
| 2 | Мой напарник погиб во время рейда, я забочусь о его семье. |
| 3 | Я храню свой дробовик как символ моей клятвы Арбитрес. |
| 4 | Я верен своему Судье-Маршалу и выполню любой его приказ. |
| 5 | У меня есть осведомитель в преступном мире, которого я поклялся защищать. |
| 6 | Я был изгнан из Арбитрес за ложное обвинение и хочу восстановить свое честное имя. |

| к6 | Слабость |
|:--:|:---|
| 1 | Я не знаю пощады и наказываю даже за самые мелкие проступки (например, кражу еды). |
| 2 | Я считаю себя всегда правым и не признаю своих ошибок. |
| 3 | У меня паранойя: я уверен, что планетарные власти коррумпированы. |
| 4 | Я готов пытать невинного, если есть хоть малейший шанс получить нужную информацию. |
| 5 | Я презираю тех, кто нарушает субординацию. |
| 6 | Из-за моей жестокости у меня нажито огромное количество врагов. |
