## Ветеран Астра Милитарум [Guardsman]
*Вы служили в Имперской Гвардии и пережили мясорубку, в которой сгинули миллионы. Траншейная грязь, рев артиллерии и крики ксеносов навсегда отпечатались в вашей памяти. Теперь вы используете свои армейские навыки для иных целей.*

* **Владение навыками:** Атлетика, Выживание.
* **Владение инструментами:** Наземный транспорт, Инструменты жестянщика (для починки оружия).
* **Снаряжение:** Жетон полка, трофей с убитого врага (зуб орка, осколок брони тау), потрепанная форма, лопатка, кошель с 10 ак.

### Специализация
| к6 | Военная профессия |
|:--:|:---|
| 1 | Штурмовик траншей |
| 2 | Полевой медик |
| 3 | Снайпер/Разведчик |
| 4 | Вокс-оператор (радист) |
| 5 | Тяжеловооруженный пехотинец |
| 6 | Экипаж бронетехники |

### Умение: Воинское братство
Вы легко находите общий язык с другими ветеранами и солдатами Империума. В любом военном лагере, казарме или баре для наемников вы можете получить бесплатную еду, выпивку и ночлег, а также узнать свежие местные слухи, просто травя байки о прошлых кампаниях.

### Персонализация
| к6 | Черта характера |
|:--:|:---|
| 1 | Я говорю громко, потому что частично оглох от артиллерии. |
| 2 | Я соблюдаю строгий распорядок дня: чистка оружия, молитва, сон. |
| 3 | Я всегда обращаюсь к старшим по званию "сэр" или "милорд". |
| 4 | Я использую мрачный армейский юмор в самых жутких ситуациях. |
| 5 | Я не терплю трусости и дезертирства. |
| 6 | Меня мучают кошмары о погибших товарищах. |

| к6 | Идеал |
|:--:|:---|
| 1 | **Долг.** Я выполняю приказы. Император защищает. (Законный) |
| 2 | **Защита.** Моя жизнь — щит для простых граждан Империума. (Добрый) |
| 3 | **Ярость.** Я живу, чтобы истреблять врагов Человечества. (Злой) |
| 4 | **Прагматизм.** Если план глупый, я найду способ его обойти. (Хаотичный) |
| 5 | **Товарищество.** Я умру за того, кто прикрывает мою спину. (Нейтральный) |
| 6 | **Вера.** Мой лазган направляет сам Бог-Император. (Законный) |

| к6 | Привязанность |
|:--:|:---|
| 1 | Мой полк был уничтожен, я храню его знамя (или его фрагмент). |
| 2 | Я ищу офицера, который бросил нас на произвол судьбы, чтобы убить его. |
| 3 | Я пишу письма семье погибшего сослуживца. |
| 4 | Мой старый лазган (или штык) спас мне жизнь сотню раз, я никому его не отдам. |
| 5 | Я верен комиссару или инквизитору, который проявил ко мне милосердие. |
| 6 | Я хочу вернуться на свою родную планету, которую не видел десятки лет. |

| к6 | Слабость |
|:--:|:---|
| 1 | Громкие неожиданные звуки заставляют меня искать укрытие. |
| 2 | Я слепо выполняю приказы, даже если они очевидно ошибочны. |
| 3 | Я ненавижу определенный вид ксеносов настолько, что теряю рассудок. |
| 4 | Алкоголь (амасек) — мой единственный способ забыть ужасы войны. |
| 5 | Я отношусь к "гражданским" с презрением и считаю их слабаками. |
| 6 | Я слишком быстро жертвую собой, считая свою жизнь малоценной. |
