## Отверженный Подулья [Hive Outcast]
*Вы были изъяты из самых низов — банд Подулья или каст бесправных рабочих мануфакторий. Вы выросли в токсичном мраке, среди ржавчины и мутантов. Орден или Инквизиция выбрали вас за звериную волю к жизни и умение выживать там, где другие видят лишь смерть.*

* **Владение навыками:** Скрытность, Выживание.
* **Владение инструментами:** Инструменты вора (мульти-ключ), один игровой набор (кости или засаленные карты).
* **Снаряжение:** Потертый дата-слейт с именами павших «братьев» по банде, глоу-стик, нож из обломка трубы, комплект грязной одежды, поясной кошель с 15 ак.

### Специализация
| к6 | Роль в банде |
|:--:|:---|
| 1 | Тоннельный крыс |
| 2 | Громила банды |
| 3 | Техно-падальщик |
| 4 | Мастер засад |
| 5 | Проводник стоков |
| 6 | Ищейка |

### Умение: Уличное чутье
Вы сохранили инстинкты Подулья. В городах-ульях или на станциях вы вдвое быстрее находите места сбыта нелегального снаряжения, теневых доков или безопасный ночлег среди бедняков, не привлекая внимания властей и Арбитрес.

### Персонализация
| к6 | Черта характера |
|:--:|:---|
| 1 | Я сплю вполглаза и всегда держу оружие под рукой. |
| 2 | Я не доверяю "чистеньким" аристократам и чиновникам. |
| 3 | Я привык питаться тем, от чего обычного человека стошнит. |
| 4 | В любой комнате я первым делом ищу пути отступления. |
| 5 | Я всегда делюсь с теми, кто доказал свою верность в бою. |
| 6 | Меня легко вывести из себя, если назвать "мусором". |

| к6 | Идеал |
|:--:|:---|
| 1 | **Выживание.** Главное — остаться в живых, остальное вторично. (Нейтральный) |
| 2 | **Братство.** Банда — это семья. Я не предам своих. (Законный) |
| 3 | **Свобода.** Никакие надзиратели больше не будут указывать мне. (Хаотичный) |
| 4 | **Власть.** Однажды я поднимусь на самый верх шпиля. (Злой) |
| 5 | **Месть.** Я верну должок всем, кто угнетал мой народ. (Хаотичный) |
| 6 | **Искупление.** Я хочу стать чем-то большим, чем просто бандит. (Добрый) |

| к6 | Привязанность |
|:--:|:---|
| 1 | Мой старый лидер банды все еще жив, и я в неоплатном долгу перед ним. |
| 2 | У меня осталась младшая сестра в Подулье, я отсылаю ей деньги. |
| 3 | Мое оружие — единственное наследство от погибшего друга. |
| 4 | Я храню знак Императора, который нашел в куче мусора. Он оберегает меня. |
| 5 | Я поклялся отомстить другой банде, истребившей моих товарищей. |
| 6 | Я привязан к своему наставнику, который вытащил меня из улья. |

| к6 | Слабость |
|:--:|:---|
| 1 | Я панически боюсь открытого неба и яркого солнечного света. |
| 2 | Я склонен к зависимости от дешевых стимуляторов. |
| 3 | Если я вижу бесхозную ценную вещь, я машинально кладу ее в карман. |
| 4 | Я становлюсь агрессивным, если кто-то смотрит на меня свысока. |
| 5 | Я брошу задание, если запахнет верной смертью. |
| 6 | Я совершенно не умею вести себя в высшем обществе и всегда позорюсь. |
