## Аколит Инквизиции [Inquisitorial Acolyte]
*Вы были вырваны из своей прежней жизни, когда попали на глаза Инквизитору. Вы доказали свою полезность, сообразительность или преданность. Теперь вы действуете во тьме, выжигая ересь, мутации и влияние демонов.*

* **Владение навыками:** Проницательность, Анализ.
* **Владение инструментами:** Набор для грима, Инструменты фальшивомонетчика (или Набор отравителя).
* **Снаряжение:** Копия инсигнии Инквизиции (или шифровальный ключ), темный плащ, пара наручников, флакон с чернилами и перо, 20 ак.

### Специализация
| к6 | Роль в свите |
|:--:|:---|
| 1 | Следователь (поиск улик) |
| 2 | Информатор (внедрение) |
| 3 | Охотник за мутантами |
| 4 | Телохранитель Инквизитора |
| 5 | Слай-адепт (взломщик данных) |
| 6 | Дознаватель (пытки и допросы) |

### Умение: Тень Инквизиции
Ваша связь с Инквизицией (даже негласная) открывает многие двери. Местные стражи правопорядка (Арбитрес или планетарная защита) предпочтут сотрудничать с вами или закрыть глаза на ваши мелкие нарушения, опасаясь гнева вашего лорда. Граждане охотнее выдают секреты из страха перед Официо Ассассинорум или кострами Экклезиархии.

### Персонализация
| к6 | Черта характера |
|:--:|:---|
| 1 | Я подозреваю всех и каждого. Невиновных не существует. |
| 2 | Я записываю каждую деталь разговора в свой мысленный (или реальный) дневник. |
| 3 | Я говорю загадками и полунамеками, никогда не отвечая прямо. |
| 4 | Меня невозможно запугать: я видел вещи хуже самой смерти. |
| 5 | Я умею сливаться с толпой и становиться "невидимкой". |
| 6 | Я фанатично цитирую Имперское Кредо перед любым важным делом. |

| к6 | Идеал |
|:--:|:---|
| 1 | **Пуританство.** Никаких компромиссов с Варпом и ксеносами. (Законный) |
| 2 | **Радикализм.** Оружие врага можно и нужно использовать против него. (Хаотичный) |
| 3 | **Порядок.** Империум держится на страхе и контроле. (Законный) |
| 4 | **Защита.** Мы творим зло в тени, чтобы человечество жило в свете. (Добрый) |
| 5 | **Власть.** Инквизиция дает мне полномочия, о которых другие могут лишь мечтать. (Злой) |
| 6 | **Истина.** Я доберусь до правды, сколько бы крови не пришлось пролить. (Нейтральный) |

| к6 | Привязанность |
|:--:|:---|
| 1 | Мой Инквизитор — самый мудрый человек в галактике, я умру за него. |
| 2 | Культисты разрушили мою жизнь, моя цель — истребить их культ до корня. |
| 3 | Я защищаю другого члена свиты, считая его своим единственным другом. |
| 4 | Я храню опасный еретический фолиант, надеясь изучить его слабости. |
| 5 | Я тайно сочувствую мутантам и стараюсь убивать их без боли. |
| 6 | Я стремлюсь доказать свою ценность и самому стать Инквизитором. |

| к6 | Слабость |
|:--:|:---|
| 1 | Я вижу ересь даже там, где её нет, и часто обвиняю невинных. |
| 2 | Я слишком полагаюсь на страх, не умея договариваться мирно. |
| 3 | Я тайно заражен (мутация, проклятие Варпа) и скрываю это от своих. |
| 4 | Я безжалостен; мольбы о пощаде вызывают у меня лишь презрение. |
| 5 | Мне снятся кошмары о демонах, с которыми я сталкивался, и иногда я кричу во сне. |
| 6 | Я склонен к гордыне и считаю себя выше законов Империума. |
