## Адепт Министорума [Ministorum Adept]
*Ваша жизнь — это служение Имперскому Культу. Вы впитывали догмы Лектицио Дивинитатус с молоком матери. Будь вы скромным писцом или пламенным проповедником, ваше оружие — это вера в Бога-Императора Человечества.*

* **Владение навыками:** Религия, Убеждение.
* **Владение инструментами:** Инструменты каллиграфа, Музыкальный инструмент (например, хоровой колокольчик).
* **Снаряжение:** Копия писания, четки из костей мучеников, ряса жреца, флакон со святой водой, 15 ак.

### Специализация
| к6 | Духовный сан |
|:--:|:---|
| 1 | Проповедник (работа с паствой) |
| 2 | Исповедник (поиск грехов) |
| 3 | Госпитальер (целитель) |
| 4 | Архивариус Экклезиархии |
| 5 | Пилигрим (искатель святынь) |
| 6 | Храмовник/Фанатик (воин веры) |

### Умение: Убежище Веры
Вы и ваши спутники можете рассчитывать на бесплатное исцеление (обычное, не магическое) и безопасный ночлег в любом храме Экклезиархии, миссии Сестер Битвы или у преданных граждан. Вас воспринимают как святого человека, и бедняки часто делятся с вами последним куском хлеба в обмен на благословение.

### Персонализация
| к6 | Черта характера |
|:--:|:---|
| 1 | Я отвечаю на вопросы цитатами из Священных Писаний. |
| 2 | Я смиренно опускаю глаза перед статуями и символами Императора. |
| 3 | Я напеваю гимны во время работы или даже в бою. |
| 4 | Я вижу божественное вмешательство в каждой случайности. |
| 5 | Я пытаюсь обратить в истинную веру даже отпетых преступников. |
| 6 | Я сурово наказываю себя за малейшие проступки (пост, самобичевание). |

| к6 | Идеал |
|:--:|:---|
| 1 | **Вера.** Император защищает. Остальное — пыль. (Законный) |
| 2 | **Милосердие.** Я должен помогать слабым, как учил Он. (Добрый) |
| 3 | **Очищение.** Еретики должны гореть в огне. (Злой/Законный) |
| 4 | **Знание.** Сохранение святых текстов — мой долг перед потомками. (Нейтральный) |
| 5 | **Власть.** Через религию я могу управлять массами. (Злой) |
| 6 | **Мученичество.** Смерть за веру — это высшая награда. (Законный) |

| к6 | Привязанность |
|:--:|:---|
| 1 | Я храню реликвию (кость пальца святого), которую должен доставить на Терру. |
| 2 | Мой духовный наставник был убит еретиками, я завершу его труд. |
| 3 | Я привязан к своей пастве на забытой планете и надеюсь к ним вернуться. |
| 4 | Я верю, что один из моих товарищей отмечен божественной судьбой. |
| 5 | Я в неоплатном долгу перед орденом Сестер Битвы, спасшим меня в детстве. |
| 6 | Мой храм был сожжен, и я ищу способ отстроить его заново. |

| к6 | Слабость |
|:--:|:---|
| 1 | Я фанатик и не приемлю никаких компромиссов с "неверными". |
| 2 | Я совершенно не разбираюсь в технике и считаю её магией. |
| 3 | Моя вера слепа; я доверяю любому, кто носит знак Министорума. |
| 4 | Я считаю себя гласом Императора и становлюсь крайне высокомерным. |
| 5 | Я тайно сомневаюсь в догмах Экклезиархии, и это гложет меня. |
| 6 | Ради защиты реликвии я готов пожертвовать жизнями невинных людей. |
