## Дитя Пустоты [Voidborn]
*Вы родились и выросли на борту огромного имперского пустотного корабля, затерянного в море звезд. Вы привыкли к замкнутым пространствам, искусственной гравитации и переходам через Имматериум. Планеты кажутся вам странными, а открытое небо вызывает головокружение.*

* **Владение навыками:** Акробатика, Восприятие.
* **Владение инструментами:** Инструменты навигатора (картографа), Пустотный транспорт.
* **Снаряжение:** Комбинезон пустотника, амулет на удачу (защита от сглаза Варпа), фляга с корабельным амасеком, трос (50 футов), 15 ак.

### Специализация
| к6 | Роль на корабле |
|:--:|:---|
| 1 | Матрос нижней палубы (разнорабочий) |
| 2 | Орудийный заряжающий (работа с макропушками) |
| 3 | Разведчик трюмов (охотник на мутантов в вентиляции) |
| 4 | Член абордажной команды |
| 5 | Помощник рулевого/навигатора |
| 6 | Контрабандист Вольного Торговца |

### Умение: Космическая адаптация
Вы идеально ориентируетесь на любых космических станциях и кораблях. Вы интуитивно понимаете их планировку, легко находите зоны без гравитации или с утечкой воздуха. В условиях невесомости или изменения гравитации вы перемещаетесь без штрафов и не получаете помех.

### Персонализация
| к6 | Черта характера |
|:--:|:---|
| 1 | Я постоянно сплевываю или стучу по металлу, чтобы отпугнуть злых духов. |
| 2 | Я чувствую себя неуютно в комнатах с высокими потолками или под небом. |
| 3 | Я измеряю время в "циклах", "вахтах" и "варп-прыжках". |
| 4 | Я легко завожу дружбу в кантинах и портовых барах. |
| 5 | Меня укачивает на твердой земле, я предпочитаю легкую вибрацию палубы. |
| 6 | Я украшаю свое тело татуировками, обозначающими каждый пережитый варп-шторм. |

| к6 | Идеал |
|:--:|:---|
| 1 | **Свобода.** Космос безграничен, и никто не может меня запереть. (Хаотичный) |
| 2 | **Команда.** Мой экипаж — моя кровь. На корабле каждый зависит от каждого. (Законный) |
| 3 | **Богатство.** Звезды полны сокровищ, нужно лишь протянуть руку. (Злой/Нейтральный) |
| 4 | **Исследование.** Я хочу увидеть свет звезд, которых еще нет на картах. (Нейтральный) |
| 5 | **Традиции.** Законы Пустоты строги, и их нельзя нарушать. (Законный) |
| 6 | **Альтруизм.** Если корабль тонет, я буду спасать других, а не себя. (Добрый) |

| к6 | Привязанность |
|:--:|:---|
| 1 | Я мечтаю скопить денег и купить собственный, пусть и маленький, корабль. |
| 2 | Мой Капитан (или Вольный Торговец) для меня царь и бог. |
| 3 | Моя семья до сих пор служит в рабских условиях на макропушках крейсера. |
| 4 | У меня есть карта, ведущая к брошенному кораблю с сокровищами. |
| 5 | Я влюблен в саму пустоту; ни одна планета не удержит меня надолго. |
| 6 | Я должен вернуть долг космическому пирату, который спас мне жизнь. |

| к6 | Слабость |
|:--:|:---|
| 1 | Я панически боюсь Варпа и закрываю уши при упоминании демонов. |
| 2 | У меня клаустрофилия: я не могу спать в больших, открытых помещениях. |
| 3 | Я слишком суеверен и отказываюсь действовать, если "знаки" плохие. |
| 4 | В каждом порту я проматываю все деньги на выпивку и азартные игры. |
| 5 | Я презираю "землероев" (тех, кто родился на планете) и считаю их тупыми. |
| 6 | При малейшем повреждении корабля я стремлюсь добраться до спасательных капсул. |
