# Боеприпасы и гранаты

### Боеприпасы

| Предмет | Стоимость | Вес | Описание |
|:---|:---:|:---:|:---|
| **Энерго-ячейка** | 1 кр. | 1 фнт. | Стандартная батарея для лазганов и лазпистолетов. |
| **Тяжелая батарея** | 3 кр. | 3 фнт. | Увеличенная энергоячейка для питания тяжелых лазерных карабинов и хелгунов. |
| **Стаб-обойма** | 5 ак. | 0.5 фнт. | Обойма с обычными пулями для пистолетов и стаб-автоматов. |
| **Дробовые патроны (картечь)**| 8 ак. | 1 фнт. | Коробка патронов со свинцовой картечью для гладкоствольного оружия и дробовиков. |
| **Зажигательная картечь**| 6 кр. | 1.5 фнт. | Специальные патроны для дробовика с фосфорным напылением. При попадании цель загорается (1d4 урона в начале ее хода, пока не потушит действием). |
| **Болт-магазин** | 5 кр. | 2 фнт. | Стандартный магазин на 20 масс-реактивных разрывных снарядов для болтера. |
| **Крак-болты (Бронебойные)** | 12 кр. | 2 фнт. | Особый магазин для болтера. Наносит на 2 единицы урона больше целям в тяжелой или силовой броне. |
| **Плазменный стержень** | 20 кр. | 3 фнт. | Редкий и опасный топливный элемент с жидким водородом, питающий плазменное оружие. |
| **Прометиумовый баллон** | 8 ак. | 5 фнт. | Заменяемый резервуар с жидким горючим для огнеметов, сварочных горелок и ранцев. |
| **Автопушечная лента** | 15 кр. | 8 фнт. | Тяжелая лента с крупнокалиберными снарядами для стационарных или панцирных автопушек. |

### Гранаты и взрывчатка

| Предмет | Стоимость | Вес | Эффект |
|:---|:---:|:---:|:---|
| **Осколочная граната** | 2 кр. | 1 фнт. | Дистанция 20/60 фт. Все существа в сфере радиусом 15 футов должны пройти спасбросок Ловкости (Сл 13). При провале получают 4d6 колющего урона, при успехе — половину. |
| **Бронебойная граната** | 5 кр. | 1 фнт. | Дистанция 20/60 фт. Точечный направленный взрыв. Наносит 4d8 рубящего урона. Наносит удвоенный урон по зданиям, конструктам и технике. |
| **Фотонная граната** | 4 кр. | 1 фнт. | Дистанция 20/60 фт. Светошумовая вспышка в сфере радиусом 20 футов. Все существа внутри должны пройти спасбросок Телосложения (Сл 14), иначе станут ослепленными до конца вашего следующего хода. |
| **Мельта-бомба** | 50 кр. | 15 фнт. | Магнитный заряд направленного термоядерного взрыва. Устанавливается вручную на объект или технику. Наносит 10d10 урона огнем в радиусе 10 футов, полностью игнорируя прочность конструкции. |
