# Броня

### Легкий доспех
| **Название** | **Стоимость** | **Класс доспеха** | **Сила** | **Скрытность** | **Вес** | **Эффект** | **Описание** |
|:---|:---:|:---:|:---:|:---:|:---:|:---|:---|
| Флак-куртка | 15 ак. | 11 + модификатор Ловкости | — | — | 8 фнт. | — | Базовая защита от осколков. |
| Флак-броня | 35 ак. | 12 + модификатор Ловкости | — | — | 12 фнт. | Сопротивление к урону от взрывов гранат и снарядов. | Проверенная временем армейская защита. |
| Меш-комбинезон | 15 кр. | 13 + модификатор Ловкости | — | — | 5 фнт. | Незаметен под обычной одеждой. | Изготовлен из гибких термопластиковых волокон. |
| Синт-кожа скрытности | 45 кр. | 11 + модификатор Ловкости | — | Преимущество | 4 фнт. | Преимущество на проверки Ловкости (Скрытность). | Особый материал полностью поглощает свет и тепло. |

### Средний доспех
| **Название** | **Стоимость** | **Класс доспеха** | **Сила** | **Скрытность** | **Вес** | **Эффект** | **Описание** |
|:---|:---:|:---:|:---:|:---:|:---|:---|:---|
| Одежда из шкур | 12 мк. | 12 + модификатор Ловкости (макс. 2) | — | — | 15 фнт. | — | Грубая броня дикарей или культистов. |
| Скрап-нагрудник | 50 мк. | 13 + модификатор Ловкости (макс. 2) | — | Помеха | 20 фнт. | Становится непригодным до ремонта при критическом попадании по владельцу. | Кустарный доспех, собранный из кусков обшивки техники. |
| Облегченный панцирный доспех | 65 кр. | 13 + модификатор Ловкости (макс. 2) | — | — | 18 фнт. | — | Облегченные пластины для офицерского состава и скитариев. |
| Шинель-панцирь | 90 кр. | 13 + модификатор Ловкости (макс. 2) | — | — | 22 фнт. | Преимущество на броски против состояния испуга. | Статусный элемент экипировки, вселяющий уверенность в бойца. |
| Панцирный доспех | 120 кр. | 14 + модификатор Ловкости (макс. 2) | — | — | 25 фнт. | — | Высокопрочные литые композитные пластины армейского образца. |
| Тяжелый панцирный доспех | 250 кр. | 15 + модификатор Ловкости (макс. 2) | 11 | Помеха | 35 фнт. | Обеспечивает +1 к спасброскам Телосложения. | Массивная монолитная защита, требующая хорошей физической подготовки. |
| Термо-изоляционный костюм | 180 кр. | 14 + модификатор Ловкости (макс. 2) | — | — | 30 фнт. | Дарует носителю сопротивление к урону огнем и холодом. | Специализированный костюм для работы в экстремальных средах. |

### Тяжелый доспех
| **Название** | **Стоимость** | **Класс доспеха** | **Сила** | **Скрытность** | **Вес** | **Эффект** | **Описание** |
|:---|:---:|:---:|:---:|:---:|:---|:---|:---|
| Штурмовой композитный комплекс | 400 кр. | 16 | 13 | Помеха | 45 фнт. | Уменьшает получаемый колющий урон на 1. | Тяжелые и прочные щитки, используемые подразделениями СПО. |
| Кавалерийский латный доспех | 600 кр. | 17 | 15 | Помеха | 60 фнт. | Придает преимущество на проверки Силы (Атлетика) при таране/толчке. | Анатомические латы для ведения боя в авангарде верхом или пешком. |
| Адамантиевый судейский доспех | 1,500 кр. | 18 | 15 | Помеха | 75 фнт. | Критические попадания по вам становятся обычными попаданиями. | Символ непреклонного закона, выдерживающий страшные удары. |
| Экзо-костюм «Экскаватор» | 2 гл. | 18 | 17 | Помеха | 110 фнт. | Увеличивает показатель Силы на +2 (макс. 20) и удваивает переносимый вес. | Тяжелый индустриальный каркас со встроенными сервоприводами. |
