# Силовой доспех

*Силовой доспех — это антропоморфная высокотехнологичная система защиты, представляющая собой не просто броню, а сложный боевой экзоскелет. Изготовленный из многослойного керамита и адамантия, он полностью герметичен, защищая владельца от вакуума, радиации и токсинов.*

### Общие свойства силового доспеха
* **Усиление волокон:** Ваша Сила увеличивается на 1, пока вы носите доспех.

* **Авточувства:** Ваша пассивная Внимательность увеличивается на 3. Вы имеете (Ночное видение)[Позволяет видеть в полной темноте так же четко, как при ярком освещении. Примечание: Бессильно против магической тьмы.] (120 футов). 
** Если по вам совершена атака из дальнобойного оружия, вы мгновенно определяете направление, из которого был сделан выстрел. До конца вашего следующего хода вы имеете преимущество на проверки Мудрости (Восприятие) или Интеллекта (Анализ), чтобы обнаружить этого стрелка.

* **Система жизнеобеспечения:** Вы имеете иммунитет к воздействию экстремальных температур и вакуума.

* **Магнитные подошвы:** Вы можете перемещаться по металлическим поверхностям (включая стены и потолок) со своей обычной скоростью ходьбы в условиях нулевой гравитации.

### Силовая броня

| **Название** | **Стоимость** | **Класс доспеха** | **Сила** | **Скрытность** | **Вес** | **Свойства (Эффекты)** | **Модули** | **Описание** |
|:---|:---:|:---:|:---:|:---:|:---:|:---|:---:|:---|
| **ЛЕГКИЕ ДОСПЕХИ** | | | | | | | | |
| Силовой доспех «Фобос» Марк X | 2,000 кр. | 16 + мод. Ловкости (макс. 2) | 13 | — | 35 фнт. | **Стелс:** +5 к Скрытности, +10 футов к скорости. Вы можете совершать действие «Засада» бонусным действием. | 2 | Облегченная модификация с минимизацией керамита в пользу подвижности. Оснащен звукопоглощающими демпферами и заниженным электромагнитным профилем. |
| **СРЕДНИЕ ДОСПЕХИ** | | | | | | | | |
| Силовой доспех «Тактикус» Марк X | 2,500 кр. | 18 | 15 | Помеха | 60 фнт. | **Адаптивность:** На коротком отдыхе добавьте половину Бонуса мастерства к навыку без владения (повторное добавление отменяет предыдущее). | 3 | Базовый стандарт современного оснащения. Модульность позволяет заменять узлы под конкретную операцию, обеспечивая оптимальное распределение веса без слабых зон. |
| **ТЯЖЕЛЫЕ ДОСПЕХИ** | | | | | | | | |
| Силовой доспех «Максимус» Марк IV | 4,000 кр. | 19 | 15 | Помеха | 70 фнт. | **Жизнеобеспечение:** Дополнительные хиты при трате Костей Хитов равные модификатору Телосложения. | 2 | Архаичная и технологически совершенная модель из редких сплавов. Отличается высокой плотностью брони и превосходными системами медицины. |
| Силовой доспех «Гравис» Марк X | 6,500 кр. | 19 | 17 | Помеха | 120 фнт. | **Стойкость бастиона:** Прибавьте удвоенный уровень к макс. хитам. **Штраф:** Скорость снижается на 5 футов. | 3 | Утяжеленный вариант для фронтальных столкновений. Несмотря на мощную защиту, значительно сковывает движения носителя. |
| **СВЕРХТЯЖЕЛЫЕ ДОСПЕХИ** | | | | | | | | |
| Тактический доспех Дредноута (Терминатор) | 15,000 кр. | 21 | 19 | Помеха | 250 фнт. | **Силовое поле:** 1 раз за бой реакцией уменьшает полученный урон вдвое. **Штраф:** Скорость снижается на 10 футов, невозможно совершить действие «Рывок», помеха на спасброски Ловкости. | 4 | Сверхтяжелый костюм со встроенным генератором энергетического щита. Позволяет нести вооружение, недоступное обычной броне. |
> **Примечание к модулям:** Столбец «Модули» указывает максимальное количество активных улучшений или технических модулей, которые могут быть интегрированы в данную раму доспеха одновременно.
