### Свойства оружия

### Свойства оружия

| Название | Эффект | Описание |
|:---|:---|:---|
| **Автоматическое** | Позволяет менять режим ведения огня на данном оружии. Если перед стрельбой Очередью или на Подавление двуручным оружием вы переместились более чем на 5 футов, вы получаете штраф -2 к броску атаки. | *Оружие с этим свойством способно выпускать шквал снарядов, подавляя цели или поражая нескольких противников за один раз.* |
| **Взрыв** | При попадании цель получает дополнительный урон 1d4 огнем. Каждое существо в пределах 5 футов от цели (за исключением владельца оружия) также получает 1d4 урона огнем. | *Снаряды этого типа начинены нестабильными реагентами или термитной смесью. При попадании в цель срабатывает микродетонатор, вызывающий объемный разрыв оболочки и разброс раскаленных осколков.* |
| **Громоздкое** | Вы не можете совершать более одной атаки этим оружием за ход, но дважды добавляете модификатор Силы к броску урона. | *Конструкция оружия отличается избыточным весом и сложной системой приводов. Колоссальная инерция механизма требует времени на подготовку, но позволяет вложить в удар сокрушительную кинетическую мощь.* |
| **Осечка** | Если при броске атаки на d20 выпадает «1», оружие заклинивает. Вы должны потратить действие и успешно совершить проверку Интеллекта (Анализ) или Ловкости (Ловкость рук) со Сл 10, чтобы устранить осечку. | *Низкое качество боеприпасов или износ затворной группы часто приводят к перекосу патрона. В критический момент механизмы подачи могут забиться нагаром, требуя немедленной ручной очистки.* |
| **Надежное** | Вы можете перебросить результат «1» на броске атаки, но должны использовать новый результат. Это оружие никогда не дает осечек. | *Данные образцы используют эталонные схемы сборки и детали из износостойких сплавов. Простая и выверенная механика практически исключает заклинивание или осечку в пылу сражения.* |
| **Отталкивание** | При попадании существо размера Большой или меньше должно преуспеть в спасброске Силы (Сл 12 + модификатор Силы владельца), иначе оно отбрасывается на 10 футов назад и сбивается с ног (падает плашмя). | *Мощные гидравлические компенсаторы или реактивный выхлоп создают направленный импульс при контакте. Энергия удара настолько велика, что цель отлетает назад, не в силах удержать равновесие.* |
| **Перегрузка батареи** | Вы можете перед совершением атаки выбрать режим перегрузки: вы получаете +1 кость к урону, но оружие нельзя использовать до конца вашего следующего хода. Требуется обязательный бросок Кости боеприпасов. | *Система форсирования позволяет кратковременно снять ограничители с энергоячеек. Это высвобождает мощный разряд, но вызывает критический перегрев цепей, блокируя работу оружия до перезагрузки систем.* |
| **Перегрев (X)** | Если результат вашего броска атаки меньше значения X, вы получаете урон, равный одной кости урона этого оружия (игнорируя любое сопротивление), а само оружие отключается до начала вашего следующего хода. Требуется обязательный бросок Кости боеприпасов. | *Высокоэнергетические элементы лишены эффективных радиаторов, из-за чего тепло накопляется внутри корпуса. При интенсивном огне раскаленные газы прорываются наружу, нанося ожоги владельцу.* |
| **Перегрев (Плазма)** | Если при броске атаки на d20 выпадает «1», оружие взрывается. Вы получаете 2d10 урона огнем (игнорируя сопротивление), а оружие становится непригодным для стрельбы. Вы должны потратить действие и успешно совершить проверку Интеллекта (Анализ) или Ловкости (Ловкость рук) со Сл 12 для его починки. Требуется обязательный бросок Кости боеприпасов. | *Магнитные катушки, удерживающие плазменный сгусток, крайне нестабильны. Любой сбой в подаче энергии приводит к мгновенному коллапсу поля и разрушительному взрыву прямо в руках стрелка.* |
| **Прицел** | Вы можете потратить бонусное действие, чтобы получить бонус +1 к следующему броску атаки, если вы не перемещались в текущем ходу. | *Интегрированные гироскопические стабилизаторы и коллиматорные линзы обеспечивают хирургическую точность. Когда стрелок фиксирует корпус, оптика мгновенно подсвечивает уязвимые сочленения брони.* |
| **Разрушитель** | Наносит удвоенный урон по объектам и транспортным средствам. | *Снаряды с сердечниками из обедненного урана или дробящие насадки с высокой частотой вибрации игнорируют структурную целостность материалов. Это оружие предназначено для вскрытия тяжелых бронеплит и укреплений.* |
| **Силовое** | Полностью игнорирует сопротивление целей к рубящему, дробящему и колющему урону. | *Генератор расщепляющего поля окружает боевую часть ореолом деструктивной энергии. Поле дестабилизирует межмолекулярные связи, позволяя оружию проходить сквозь материю, словно через пустоту.* |
| **Скрытный** | Совершение выстрела не раскрывает вашу позицию автоматически. Враги должны пройти проверку Мудрости (Восприятие) против вашей проверки Ловкости (Скрытность). | *Многокамерные глушители и светопоглощающие кожухи подавляют вспышку и звук выстрела. Позиция стрелка остается неочевидной даже после открытия огня, оставляя врага в неведении.* |
| **Тяжелое** | Если ваше значение Силы ниже 18, вы совершаете броски атаки с помехой. После совершения атаки вы должны преуспеть в спасброске Силы (Сл 16), иначе персонаж падает плашмя. | *Чудовищный вес и сокрушительная отдача этих орудий рассчитаны на физиологию сверхлюдей. Обычный человек без должной опоры рискует получить серьезные травмы или упасть от собственного выстрела.* |
| **Цепное** | Если хотя бы на одной из костей урона выпадает максимально возможное значение, цель получает дополнительный урон 1d4. | *Ряд моторизированных зубьев из сверхпрочного сплава вгрызается в плоть при контакте. Если клинок находит уязвимое место, высокооборотная цепь начинает буквально перемалывать ткани, нанося глубокие рваные раны.* |
| **Дробовой выстрел** | При совершении атаки по цели, находящейся в пределах эффективной (первой) дистанции оружия, вы получаете бонус +2 к броску урона. | *Конструкция ствола и патроны с крупной картечью обеспечивают колоссальную останавливающую силу на близкой дистанции, буквально разрывая незащищенные цели, но резко теряют эффективность на расстоянии.* |
| **Легкое** | Вы можете использовать бонусное действие, чтобы атаковать легким оружием, но к урону не добавляется модификатор характеристик (Сила или Ловкость), если только он не отрицательный. | *Компактные габариты, идеальный баланс и малый вес позволяют эффективно вести бой с двух рук, молниеносно нанося дополнительные удары или совершая быстрые вскидки.* |
